Id,date,price,bedrooms,bathrooms,No Of Cars,Garage,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
82,20141222T000000,360000.00,4,2.5,3,1,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405
83,20141028T000000,355000.00,2,1,0,0,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720
84,20150128T000000,356000.00,3,1.5,1,1,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797
85,20140602T000000,315000.00,3,1,1,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203
86,20141114T000000,940000.00,3,1.5,0,0,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800
87,20141103T000000,305000.00,5,2.25,0,0,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165
88,20140618T000000,461000.00,3,3.25,1,1,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349
89,20140519T000000,215000.00,2,2.25,0,0,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025
90,20140904T000000,335000.00,2,1.75,0,0,1030,1066,2,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106
91,20140522T000000,243500.00,4,2.5,3,1,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510
92,20150311T000000,1100000.00,5,2.75,1,1,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250
93,20150226T000000,153000.00,3,1,1,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500
94,20140725T000000,430000.00,3,1.5,2,1,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500
95,20141223T000000,700000.00,3,1.5,0,0,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500
96,20140908T000000,905000.00,4,2.5,3,1,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045
97,20150330T000000,247500.00,3,1.75,1,1,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616
98,20140912T000000,199000.00,4,1.5,0,0,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400
99,20140711T000000,314000.00,3,1.75,0,0,1810,41800,1,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036
100,20140516T000000,437500.00,3,2.5,0,0,2320,36847,2,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065
101,20140611T000000,850830.00,3,2.5,3,1,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500
102,20141027T000000,555000.00,3,2,0,0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478
103,20141212T000000,699950.00,3,2.25,2,1,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777
104,20141007T000000,1090000.00,3,2.5,3,1,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113
105,20140924T000000,290000.00,3,1,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910
106,20150402T000000,375000.00,3,2.5,0,0,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162
107,20140523T000000,460000.00,3,1,0,0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005
108,20140723T000000,188500.00,2,1.75,2,1,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966
109,20150305T000000,680000.00,4,2.5,1,1,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001
110,20140827T000000,470000.00,5,1.75,3,1,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433
111,20140725T000000,597750.00,4,2.5,2,1,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636
112,20150304T000000,570000.00,3,1.75,0,0,1260,3328,1,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536
113,20140916T000000,272500.00,3,1.75,0,0,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656
114,20141124T000000,329950.00,3,1.75,1,1,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500
115,20141028T000000,480000.00,4,2.5,1,1,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517
116,20141121T000000,740500.00,3,3.5,0,0,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350
117,20140626T000000,518500.00,3,3.5,1,1,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166
118,20140623T000000,205425.00,2,1,0,0,880,6780,1,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780
119,20150108T000000,171800.00,4,2,1,1,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000
120,20150511T000000,535000.00,4,1,0,0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040
121,20150102T000000,660000.00,3,2.5,3,1,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856
122,20141119T000000,391500.00,3,2,0,0,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104
123,20150406T000000,395000.00,2,1,1,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000
124,20141104T000000,445000.00,4,1.75,0,0,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400
125,20140618T000000,770000.00,3,2.25,2,1,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992
126,20150302T000000,1450000.00,4,2.75,0,0,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275
127,20140717T000000,445000.00,3,2.25,0,0,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712
128,20140717T000000,260000.00,4,2.25,1,1,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400
129,20140613T000000,822500.00,5,3.5,0,0,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960
130,20150406T000000,430000.00,4,2.5,0,0,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748
131,20150105T000000,212000.00,3,1.75,1,1,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680
132,20150428T000000,660500.00,4,2.25,0,0,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793
133,20140612T000000,784000.00,3,3.5,0,0,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052,47.697,-122.072,2480,88500
134,20140512T000000,453246.00,3,2.5,1,1,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662
135,20150126T000000,675000.00,4,3.5,3,1,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285
136,20140813T000000,199000.00,3,1.75,1,1,1320,17390,1,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265
137,20140805T000000,220000.00,4,1.75,1,1,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140
138,20140529T000000,452000.00,4,2.25,0,0,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436
139,20140707T000000,382500.00,2,1,0,0,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715
140,20140507T000000,519950.00,3,2.25,3,1,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310
141,20140627T000000,665000.00,2,1,0,0,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600
142,20140708T000000,527700.00,5,2.5,3,1,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375
143,20150508T000000,205000.00,3,1,0,0,1610,8579,1,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579
144,20150415T000000,420000.00,3,1,0,0,1060,8097,1,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940
145,20150227T000000,500000.00,4,2.25,1,1,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824
146,20141203T000000,921500.00,4,2.5,0,0,3670,315374,2,0,0,4,9,3670,0,1994,0,98077,47.7421,-122.026,2840,87991
147,20140625T000000,890000.00,4,1,3,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000
148,20140806T000000,430000.00,2,2.5,1,1,2420,60984,2,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842
149,20141030T000000,258000.00,5,2,0,0,2260,12500,1,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000
150,20141104T000000,511000.00,3,1,2,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599
151,20140820T000000,532170.00,3,2,3,1,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090
152,20150409T000000,560000.00,3,1,0,0,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000
153,20150331T000000,282950.00,3,1,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633
154,20150401T000000,2250000.00,4,3.25,0,0,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750
155,20140516T000000,350000.00,1,1,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100
156,20140728T000000,215000.00,3,1,1,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669
157,20141120T000000,650000.00,5,3.5,0,0,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675
158,20140807T000000,320000.00,4,2.75,3,1,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875
159,20141113T000000,247000.00,3,2,0,0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198
160,20141003T000000,320000.00,4,1.75,3,1,1760,11180,1,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180
161,20140507T000000,255000.00,5,2.25,0,0,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680
162,20150309T000000,438000.00,3,1.75,0,0,1780,9660,1,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660
163,20150304T000000,900000.00,3,2.5,0,0,3400,16603,2,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601
164,20140620T000000,441000.00,3,2.75,3,1,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152
165,20140812T000000,420000.00,3,2,1,1,2020,38332,1,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590
166,20141208T000000,370000.00,3,1.75,1,1,1580,7000,1,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500
167,20150219T000000,269950.00,2,1.75,0,0,1340,7250,1,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,9750
168,20150324T000000,807100.00,4,2.5,1,1,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500
169,20140605T000000,653000.00,3,2.5,3,1,2680,9750,1,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750
170,20140611T000000,371500.00,3,2,0,0,1370,8336,1,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288
171,20150316T000000,284000.00,3,1.75,3,1,1560,21000,1,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,1070,7920
172,20150102T000000,272000.00,3,1.75,3,1,2160,7140,1,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350
173,20140502T000000,313000.00,3,1.5,0,0,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940
174,20150116T000000,917500.00,4,2.5,2,1,3880,35003,2,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230
175,20140929T000000,673000.00,4,2.25,1,1,2590,8190,2,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335
176,20150210T000000,425000.00,3,2.5,0,0,1120,1100,2,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795
177,20140709T000000,399950.00,5,2.75,2,1,1970,5400,1,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,2150
178,20140530T000000,385000.00,3,1,0,0,1220,4800,1,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800
179,20141117T000000,269950.00,3,1.5,1,1,1950,7560,1,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941
180,20150107T000000,330000.00,2,1,0,0,1350,8220,1,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,8280
181,20140725T000000,260000.00,3,2.5,2,1,1670,5797,2,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183
182,20150414T000000,470000.00,4,3,0,0,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375
183,20140613T000000,589000.00,4,3,2,1,2440,9600,2,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600
184,20140723T000000,163500.00,2,1.5,3,1,1050,3419,2,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417
185,20140905T000000,835000.00,4,2.75,0,0,3130,13412,2,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984
186,20141121T000000,1100000.00,5,3,3,1,4090,12850,1,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.188,2540,10270
187,20150415T000000,269000.00,4,1.75,0,0,1490,10000,1,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.379,2190,8910
188,20140505T000000,560000.00,3,2.5,0,0,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744
189,20150418T000000,615000.00,4,1,0,0,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,4400
190,20141205T000000,585188.00,3,2.25,1,1,2230,10026,1,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.153,2230,9340
191,20140818T000000,305000.00,3,1.75,1,1,1650,9480,1,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,8400
192,20141105T000000,166950.00,3,1,0,0,1190,8820,1,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980
193,20140912T000000,799000.00,3,2.5,0,0,2140,9897,1,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083
194,20140625T000000,400000.00,3,2.5,2,1,2180,7508,1,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818
195,20141201T000000,230000.00,3,1,1,1,1060,10228,1,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228
196,20140515T000000,256883.00,3,2.5,0,0,1690,5025,2,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,2550,5001
197,20141111T000000,423000.00,4,2,0,0,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480
198,20140723T000000,465000.00,3,2.5,2,1,2150,4084,2,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.372,1750,2385
199,20150113T000000,440000.00,3,2.5,3,1,1910,66211,2,0,0,3,7,1910,0,1997,0,98024,47.5385,-121.911,2330,67268
200,20141014T000000,385000.00,3,1.75,3,1,1350,155073,1,0,0,4,7,1350,0,1969,0,98038,47.4058,-121.994,1560,50965
201,20150311T000000,210000.00,3,1,3,1,860,11725,1,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514
