"Id","YearBuilt","YearRemodelled","NumberOfBedrooms","NumberOfBathrooms","NumberOfFloors","LivingArea","BasementExisting","FireplaceExisting","PoolExisting","GarageExisting","GarageCarCount","CloseToCommute","SalesCondition","ZipCode","City","StateAbbreviation","State","SalesPrice"
16,1973,1973,3,3.5,2.0,2090,1,1,0,1,2,0,4,96108,"DAVIS CREEK","CA","California",200000.0
17,1960,0,3,1.0,1.0,1780,1,0,1,0,0,1,3,98146,"SEATTLE","WA","Washington",229500.2
18,1931,1950,2,2.0,1.5,1774,1,1,0,1,2,0,5,96109,"DOYLE","CA","California",129900.0
19,1939,1950,2,2.0,1.5,1077,1,1,0,1,1,0,4,96111,"FLORISTON","CA","California",118000.0
20,2003,0,3,2.5,2.0,1890,0,0,1,0,0,0,3,98038,"MAPLE VALLEY","WA","Washington",323000.9
21,1965,1965,3,2.0,1.0,1040,1,0,0,1,1,0,4,96111,"FLORISTON","CA","California",129500.0
22,1965,0,3,2.5,1.0,3560,1,0,0,1,3,1,3,98007,"BELLEVUE","WA","Washington",662500.5
23,1942,0,2,1.0,1.0,1160,1,1,0,1,2,0,4,98115,"SEATTLE","WA","Washington",468000.8
24,2005,2006,4,4.0,2.0,2324,1,1,0,1,3,0,5,96112,"FORT BIDWELL","CA","California",345000.0
25,1962,1962,2,2.0,1.0,912,1,0,0,1,1,0,4,96113,"HERLONG","CA","California",144000.0
26,1927,0,3,1.0,1.5,1430,0,1,1,0,0,0,4,98028,"KENMORE","WA","Washington",310000.9
27,2006,2007,3,2.0,1.0,1494,1,1,0,1,3,1,5,96141,"HOMEWOOD","CA","California",279500.0
28,1977,0,3,1.75,1.0,1370,0,0,1,0,0,1,4,98074,"SAMMAMISH","WA","Washington",400000.0
29,1960,1960,2,2.5,1.0,1253,1,1,0,1,1,0,4,96142,"TAHOMA","CA","California",157000.0
30,1900,0,5,2.0,1.5,1810,0,0,1,0,0,1,3,98107,"SEATTLE","WA","Washington",530000.0
31,1929,2001,2,1.0,1.5,854,1,0,0,1,2,0,4,96114,"JANESVILLE","CA","California",132000.0
32,1979,0,4,3.0,2.0,2950,1,0,1,0,0,1,3,98126,"SEATTLE","WA","Washington",650000.0
33,1970,1970,2,2.0,1.0,1004,1,1,0,1,2,0,4,96136,"WENDEL","CA","California",149000.0
34,1994,0,3,2.0,2.0,1890,0,0,1,1,2,1,3,98019,"DUVALL","WA","Washington",395000.0
35,1967,1967,2,2.0,1.0,1296,0,0,0,1,2,1,4,96143,"KINGS BEACH","CA","California",90000.0
36,1916,0,4,1.0,1.5,1600,0,1,0,1,2,1,4,98103,"SEATTLE","WA","Washington",485000.0
37,1921,0,2,1.0,1.0,1200,0,1,1,1,3,1,4,98002,"AUBURN","WA","Washington",189000.0
38,2004,2004,3,2.5,1.0,1114,1,0,0,1,2,0,4,96115,"LAKE CITY","CA","California",159000.0
39,1958,1965,3,1.0,1.0,1339,1,0,0,1,1,1,5,96116,"LIKELY","CA","California",139000.0
40,1969,0,3,1.0,1.0,1250,0,1,1,1,2,0,4,98003,"FEDERAL WAY","WA","Washington",230000.0
41,2005,2006,4,3.5,2.0,2376,1,1,0,1,3,0,5,96117,"LITCHFIELD","CA","California",325300.0
42,1947,0,4,1.75,1.0,1620,1,0,1,0,0,0,4,98133,"SEATTLE","WA","Washington",385000.0
43,1968,0,3,2.75,1.0,3050,1,0,0,0,0,1,3,98040,"MERCER ISLAND","WA","Washington",120000.0
44,1930,1950,3,1.0,1.5,1108,1,1,0,1,1,1,4,96118,"LOYALTON","CA","California",139400.0
45,2002,2002,3,2.0,1.0,1795,1,1,0,1,2,0,4,96119,"MADELINE","CA","California",230000.0
46,1995,0,5,2.5,2.0,2270,0,0,0,1,3,0,3,98092,"AUBURN","WA","Washington",285000.0
47,1976,1976,3,2.0,1.0,1060,1,1,0,1,2,0,4,96120,"MARKLEEVILLE","CA","California",129900.0
48,1985,0,2,1.5,1.0,1070,0,0,0,0,0,0,3,98030,"KENT","WA","Washington",252700.0
49,1968,2001,3,2.0,1.0,1060,1,1,0,1,1,0,4,96121,"MILFORD","CA","California",154000.0
50,1985,0,3,2.25,2.0,2450,0,0,1,0,0,1,4,98030,"KENT","WA","Washington",329000.0
51,1941,0,3,2.0,1.5,1710,0,1,0,1,1,1,5,98002,"AUBURN","WA","Washington",233000.0
52,2007,2007,3,2.0,1.0,1600,1,1,0,1,3,0,4,96122,"PORTOLA","CA","California",256300.0
53,1951,2000,3,1.5,1.0,900,1,0,0,1,2,0,4,96129,"BECKWOURTH","CA","California",134800.0
54,1915,0,3,1.75,2.0,2450,1,1,1,0,0,0,3,98119,"SEATTLE","WA","Washington",937000.0
55,1909,0,3,1.0,1.5,1400,0,1,1,0,0,1,5,98112,"SEATTLE","WA","Washington",667000.0
56,2007,2008,3,3.0,1.0,1704,1,1,0,1,3,0,4,96123,"RAVENDALE","CA","California",306000.0
57,1948,0,3,1.75,1.0,1520,1,1,0,0,0,1,3,98115,"SEATTLE","WA","Washington",438000.0
58,1957,1997,2,2.0,1.0,1600,1,1,0,1,1,0,4,96132,"TERMO","CA","California",207500.0
59,1927,1950,1,1.0,1.0,520,1,0,0,1,1,1,4,96124,"CALPINE","CA","California",68500.0
60,2005,0,4,2.5,2.0,2570,0,0,0,1,1,0,3,98052,"REDMOND","WA","Washington",719000.0
61,1920,1950,3,1.0,2.0,1317,1,0,0,1,1,0,4,96125,"SIERRA CITY","CA","California",40000.0
62,2003,0,3,2.5,2.0,2320,0,1,0,0,0,0,3,98027,"ISSAQUAH","WA","Washington",580500.0
63,1966,2006,3,1.5,1.0,1228,1,0,0,1,1,0,4,96126,"SIERRAVILLE","CA","California",149350.0
64,2005,0,2,1.5,3.0,1190,0,0,0,1,1,1,3,98133,"SEATTLE","WA","Washington",280000.0
65,1929,0,4,1.75,1.5,2330,1,1,0,0,0,1,4,98117,"SEATTLE","WA","Washington",615500.0
66,2007,2007,3,2.0,1.0,1234,1,0,0,1,2,0,4,96150,"SOUTH LAKE TAHOE","CA","California",179900.0
67,1929,0,3,1.0,1.5,1090,0,1,1,1,1,0,4,98117,"SEATTLE","WA","Washington",535000.0
68,1959,1959,4,2.0,1.0,1700,1,1,0,1,2,1,4,96151,"SOUTH LAKE TAHOE","CA","California",165500.0
69,1981,0,4,2.75,1.0,2060,1,1,0,1,3,1,3,98058,"RENTON","WA","Washington",322500.0
70,2005,2005,2,3.0,1.0,1561,1,1,0,1,2,1,4,96152,"SOUTH LAKE TAHOE","CA","California",277500.0
71,1930,2002,3,2.5,1.5,2300,1,0,0,0,0,1,3,98115,"SEATTLE","WA","Washington",696000.0
72,2004,2005,4,3.5,2.0,2452,1,1,0,1,3,0,4,96154,"SOUTH LAKE TAHOE","CA","California",309000.0
73,1933,0,4,1.0,1.0,1660,1,0,0,0,0,0,1,98052,"REDMOND","WA","Washington",550000.0
74,1994,1995,3,1.5,1.0,1097,1,0,0,1,2,0,4,96155,"SOUTH LAKE TAHOE","CA","California",145000.0
75,1954,1990,3,1.5,1.0,1297,1,1,0,1,2,1,4,96156,"SOUTH LAKE TAHOE","CA","California",153000.0
76,1904,0,4,2.0,2.0,2360,0,1,0,0,0,1,4,98107,"SEATTLE","WA","Washington",640000.0
77,1969,0,4,1.0,1.0,1220,1,0,0,0,0,1,2,98001,"AUBURN","WA","Washington",240000.0
78,1953,2007,3,2.0,1.0,1057,1,0,0,1,1,1,5,96157,"SOUTH LAKE TAHOE","CA","California",109000.0
79,1955,1955,2,2.0,1.0,1152,0,0,0,0,0,0,1,96158,"SOUTH LAKE TAHOE","CA","California",82000.0
80,1996,0,4,2.5,2.0,2620,0,0,0,1,2,0,3,98056,"RENTON","WA","Washington",605000.0
81,1965,1965,3,2.0,1.0,1324,1,1,0,1,2,0,5,96128,"STANDISH","CA","California",160000.0
82,2000,0,4,2.5,2.0,2570,0,0,0,1,3,1,3,98074,"SAMMAMISH","WA","Washington",625000.0
83,1984,0,4,2.25,1.0,4220,1,0,1,1,2,0,3,98166,"SEATTLE","WA","Washington",775000.0
84,1959,1959,2,2.0,1.0,1328,1,1,0,1,1,0,4,96127,"SUSANVILLE","CA","California",170000.0
85,1983,1983,2,2.0,3.0,884,1,0,0,1,2,0,4,96130,"SUSANVILLE","CA","California",144000.0
86,2014,0,5,2.75,2.0,3595,0,0,0,0,0,0,3,98053,"REDMOND","WA","Washington",861990.0
87,1975,1980,3,2.0,1.0,938,1,0,0,1,1,0,4,96145,"TAHOE CITY","CA","California",130250.0
88,1922,0,3,1.0,2.0,1570,0,1,0,1,2,1,3,98119,"SEATTLE","WA","Washington",685000.0
89,1959,0,3,1.0,1.0,1280,1,0,0,0,0,1,4,98058,"RENTON","WA","Washington",309000.0
90,1959,1959,3,2.0,1.0,1150,1,0,0,1,1,1,4,96146,"OLYMPIC VALLEY","CA","California",141000.0
91,2003,0,3,2.5,2.0,3160,0,0,1,0,0,1,3,98019,"DUVALL","WA","Washington",488000.0
92,2005,2005,2,3.0,1.0,1752,1,1,0,1,2,0,4,96148,"TAHOE VISTA","CA","California",319900.0
93,1966,0,3,1.0,1.0,990,0,1,0,0,0,1,3,98023,"FEDERAL WAY","WA","Washington",210490.0
94,2003,2003,1,2.5,1.5,2149,1,1,0,1,2,0,5,96133,"TOPAZ","CA","California",239686.0
95,2006,2006,3,2.0,1.0,1656,1,0,0,1,3,0,4,96160,"TRUCKEE","CA","California",249700.0
96,1981,0,4,2.5,2.0,2290,0,1,1,1,2,0,4,98007,"BELLEVUE","WA","Washington",785000.0
97,1953,0,3,1.75,1.0,1250,0,1,1,0,0,1,4,98115,"SEATTLE","WA","Washington",450000.0
98,1920,2008,2,2.0,2.0,1452,1,0,0,0,0,0,5,96161,"TRUCKEE","CA","California",110000.0
99,1966,1966,3,2.0,1.0,955,1,0,0,1,1,1,4,96162,"TRUCKEE","CA","California",127000.0
100,1953,0,3,2.5,1.0,2753,1,1,1,0,0,1,5,98070,"VASHON","WA","Washington",1100000.0
101,1997,1997,3,2.5,2.0,1470,1,0,0,1,2,0,4,96134,"TULELAKE","CA","California",177000.0
102,1955,0,3,1.0,1.0,1190,0,1,1,0,0,0,3,98148,"SEATTLE","WA","Washington",228000.0
103,1966,0,5,2.5,1.0,3150,1,0,1,0,0,0,4,98056,"RENTON","WA","Washington",345000.0
104,1934,1950,3,1.0,1.5,1176,1,1,0,1,2,1,4,96135,"VINTON","CA","California",114500.0
105,1950,0,3,1.75,1.0,1410,1,1,0,0,0,1,4,98117,"SEATTLE","WA","Washington",600000.0
106,1963,1963,2,2.0,1.0,816,1,0,0,1,2,0,4,96137,"WESTWOOD","CA","California",110000.0
107,1981,0,2,1.75,1.0,1980,1,0,1,0,0,0,3,98117,"SEATTLE","WA","Washington",585000.0
108,1981,1987,0,2.5,1.0,1842,1,1,0,1,1,0,4,90201,"BELL GARDENS","CA","California",385000.0
109,1955,1955,3,1.0,3.0,1360,1,1,0,1,2,0,4,90202,"BELL","CA","California",130000.0
110,1927,0,5,2.25,1.5,2730,1,0,0,0,0,0,3,98105,"SEATTLE","WA","Washington",920000.0
111,1995,0,4,2.5,2.0,2830,0,1,0,0,0,0,3,98105,"SEATTLE","WA","Washington",885000.0
112,1964,1964,3,2.0,1.0,1425,1,1,0,1,2,0,4,90270,"MAYWOOD","CA","California",180500.0
113,1999,2000,3,3.5,2.0,1739,1,0,0,1,2,1,5,90209,"BEVERLY HILLS","CA","California",172500.0
114,2008,0,4,2.5,2.0,2250,0,0,0,0,0,0,3,98042,"KENT","WA","Washington",292500.0
115,2004,2004,3,2.5,2.0,1720,1,0,0,1,2,1,4,90210,"BEVERLY HILLS","CA","California",196500.0
116,2003,0,3,2.5,2.0,2420,0,0,1,0,0,0,3,98042,"KENT","WA","Washington",301000.0
117,2006,2006,3,3.5,2.0,2945,1,1,0,1,3,1,5,90211,"BEVERLY HILLS","CA","California",438780.0
118,1968,0,5,3.25,2.0,3250,0,0,0,0,0,0,4,98008,"BELLEVUE","WA","Washington",951000.0
119,1991,0,4,3.0,2.0,1850,0,0,1,0,0,1,3,98059,"RENTON","WA","Washington",430000.0
120,1972,1972,2,1.0,1.0,780,1,0,0,1,1,1,4,90212,"BEVERLY HILLS","CA","California",124900.0
121,2004,2004,3,2.5,1.0,1158,1,0,0,1,2,0,5,90213,"BEVERLY HILLS","CA","California",158000.0
122,1959,0,3,2.25,1.0,2150,1,1,1,1,2,1,4,98166,"SEATTLE","WA","Washington",650000.0
123,1920,1996,3,1.0,2.5,1111,1,0,0,1,1,1,4,90220,"COMPTON","CA","California",101000.0
124,1954,0,3,1.75,1.0,1260,0,1,0,1,1,1,3,98148,"SEATTLE","WA","Washington",289000.0
125,1973,0,3,1.75,2.0,2519,0,1,1,1,2,1,5,98166,"SEATTLE","WA","Washington",505000.0
126,2006,2006,2,2.0,1.0,1370,1,1,0,1,2,1,4,90221,"COMPTON","CA","California",202500.0
127,2014,0,3,1.75,3.0,1540,0,1,1,1,1,1,3,98115,"SEATTLE","WA","Washington",549000.0
128,1921,1950,3,2.0,2.0,1710,1,0,0,1,2,0,4,90222,"COMPTON","CA","California",140000.0
129,1979,0,3,2.25,1.0,1660,1,0,1,1,3,1,3,98122,"SEATTLE","WA","Washington",425000.0
130,1997,1998,3,3.5,2.0,2034,1,0,0,1,2,0,4,90223,"COMPTON","CA","California",219500.0
131,2004,2005,4,2.5,2.0,2473,1,1,0,1,3,1,4,90224,"COMPTON","CA","California",317000.0
132,1925,0,3,2.75,1.5,2770,1,1,1,1,2,0,5,98144,"SEATTLE","WA","Washington",317625.0
133,1989,0,4,2.5,2.0,2720,0,1,0,1,1,1,3,98004,"BELLEVUE","WA","Washington",975000.0
134,1970,1989,3,3.0,1.0,2207,1,1,0,1,2,1,4,90230,"CULVER CITY","CA","California",180000.0
135,2005,0,4,2.5,2.0,2240,0,0,0,0,0,0,3,98001,"AUBURN","WA","Washington",287000.0
136,2003,2003,3,3.0,1.0,1479,1,0,0,1,2,1,4,90231,"CULVER CITY","CA","California",226000.0
137,1945,1950,2,1.0,1.0,747,1,0,0,1,1,1,4,90232,"CULVER CITY","CA","California",80000.0
138,1968,0,3,1.0,1.0,1000,0,0,0,0,0,0,4,98042,"KENT","WA","Washington",204000.0
139,1953,1953,3,2.0,1.5,2287,1,1,0,1,2,0,4,90233,"CULVER CITY","CA","California",225000.0
140,1965,0,5,2.25,1.0,3200,1,1,1,0,0,1,3,98004,"BELLEVUE","WA","Washington",1030000.0
141,1973,0,5,3.25,1.0,4770,1,1,1,0,0,1,4,98005,"BELLEVUE","WA","Washington",1040000.0
142,1973,1973,3,3.0,1.0,2223,1,1,0,1,2,0,4,90239,"DOWNEY","CA","California",244000.0
143,1982,2006,2,2.0,1.0,845,1,0,0,1,2,0,4,90240,"DOWNEY","CA","California",129500.0
144,1972,0,3,2.0,1.0,1260,0,1,1,0,0,1,4,98034,"KIRKLAND","WA","Washington",325000.0
145,1916,0,4,2.0,1.5,2750,1,1,0,1,2,0,5,98125,"SEATTLE","WA","Washington",571000.0
146,1998,1998,3,2.5,2.0,1718,1,1,0,1,2,1,4,90241,"DOWNEY","CA","California",185000.0
147,2005,0,4,2.5,2.0,2380,0,1,1,1,2,0,3,98038,"MAPLE VALLEY","WA","Washington",360000.0
148,1954,2003,3,2.0,1.0,1086,1,0,0,1,2,0,4,90242,"DOWNEY","CA","California",144900.0
149,1965,0,3,1.75,1.0,1790,1,1,1,0,0,1,5,98042,"KENT","WA","Washington",349000.0
150,1915,1950,3,2.0,2.0,1605,1,0,0,1,1,0,4,90245,"EL SEGUNDO","CA","California",107400.0
151,1986,0,4,4.0,2.0,3430,1,0,0,0,0,0,4,98075,"SAMMAMISH","WA","Washington",832500.0
152,1973,1973,2,2.0,3.0,988,1,0,0,1,1,0,4,90247,"GARDENA","CA","California",91000.0
153,1956,1956,2,1.0,1.0,952,1,0,0,1,1,0,4,90248,"GARDENA","CA","California",135750.0
154,1956,0,4,1.75,1.0,1760,1,0,1,0,0,1,3,98008,"BELLEVUE","WA","Washington",380000.0
155,1941,0,3,1.0,1.0,1040,0,1,1,1,2,0,3,98116,"SEATTLE","WA","Washington",480000.0
156,1948,2001,2,2.0,1.5,1285,1,0,0,1,1,1,4,90249,"GARDENA","CA","California",127000.0
157,1968,1968,4,2.0,1.0,1768,1,0,0,0,0,0,4,90250,"HAWTHORNE","CA","California",100500.0
158,1956,0,3,1.0,1.0,1410,1,1,1,1,1,1,4,98133,"SEATTLE","WA","Washington",410000.0
159,2002,0,4,2.5,2.0,3450,0,1,0,0,0,0,3,98010,"BLACK DIAMOND","WA","Washington",720000.0
160,1910,1981,2,1.5,2.0,1230,1,0,0,1,2,1,4,90251,"HAWTHORNE","CA","California",110000.0
161,1968,1968,4,2.5,2.0,2142,1,1,0,1,1,1,4,90255,"HUNTINGTON PARK","CA","California",193500.0
162,2003,0,3,2.5,2.0,2350,0,1,0,0,0,1,3,98038,"MAPLE VALLEY","WA","Washington",390000.0
163,1998,1998,2,3.0,1.0,1337,1,0,0,1,2,0,4,90301,"INGLEWOOD","CA","California",153500.0
164,1992,0,4,2.5,2.0,1900,0,1,0,1,3,1,3,98038,"MAPLE VALLEY","WA","Washington",360000.0
165,1948,0,2,1.0,1.0,2020,1,0,0,0,0,0,3,98118,"SEATTLE","WA","Washington",355000.0
166,2007,2007,3,2.0,1.0,1563,1,1,0,1,3,0,4,90302,"INGLEWOOD","CA","California",245000.0
167,1964,0,3,1.5,1.0,1680,0,1,1,1,1,0,3,98059,"RENTON","WA","Washington",356000.0
168,1960,1960,3,1.5,1.0,1065,1,0,0,1,2,0,4,90303,"INGLEWOOD","CA","California",126500.0
169,1995,1996,3,2.5,3.0,1474,1,1,0,1,2,0,4,90304,"INGLEWOOD","CA","California",168500.0
170,1952,0,3,1.0,1.0,960,0,1,0,1,1,0,3,98125,"SEATTLE","WA","Washington",315000.0
171,1925,0,3,1.5,2.0,2140,1,1,1,0,0,0,3,98119,"SEATTLE","WA","Washington",940000.0
172,1991,1992,4,2.5,2.0,2417,1,1,0,1,2,1,4,90305,"INGLEWOOD","CA","California",260000.0
173,1961,0,5,2.25,1.5,2660,0,1,0,0,0,0,5,98092,"AUBURN","WA","Washington",305000.0
174,2005,2005,3,2.5,2.0,1560,1,1,0,1,2,1,4,90306,"INGLEWOOD","CA","California",174000.0
175,2006,0,3,3.25,2.0,2770,1,0,0,1,1,1,3,98056,"RENTON","WA","Washington",461000.0
176,2009,2009,2,2.5,2.0,1224,1,0,0,1,2,1,5,90307,"INGLEWOOD","CA","California",164500.0
177,1979,0,2,2.25,2.0,1610,0,1,0,0,0,0,4,98056,"RENTON","WA","Washington",215000.0
178,1915,1982,2,1.0,1.5,1526,1,0,0,0,0,0,5,90308,"INGLEWOOD","CA","California",80000.0
179,2006,0,2,1.75,2.0,1030,1,0,1,0,0,1,3,98136,"SEATTLE","WA","Washington",335000.0
180,1994,1995,3,2.0,1.0,990,1,0,0,0,0,1,4,90309,"INGLEWOOD","CA","California",112600.0
181,1988,0,4,2.5,2.0,1980,0,1,1,1,3,1,3,98023,"FEDERAL WAY","WA","Washington",243500.0
182,1950,1950,2,1.0,1.0,1040,0,0,0,1,2,1,4,90310,"INGLEWOOD","CA","California",109900.0
183,1961,1961,2,1.0,1.0,1235,1,0,0,1,2,1,5,90311,"INGLEWOOD","CA","California",98600.0
184,2001,0,5,2.75,2.0,3520,0,1,1,1,1,1,4,98199,"SEATTLE","WA","Washington",1100000.0
185,1962,0,3,1.0,1.0,1200,0,1,0,1,1,1,3,98023,"FEDERAL WAY","WA","Washington",153000.0
186,1921,2006,2,2.0,1.0,964,1,0,0,1,2,1,4,90312,"INGLEWOOD","CA","California",163500.0
187,1939,0,3,1.5,1.0,1580,1,0,0,1,2,0,3,98117,"SEATTLE","WA","Washington",430000.0
188,1910,1998,4,2.5,2.5,2291,1,1,0,1,2,0,4,90260,"LAWNDALE","CA","California",133900.0
189,1997,1997,3,3.5,2.0,1786,1,0,0,1,2,1,4,90261,"LAWNDALE","CA","California",204750.0
190,1939,0,3,1.5,1.0,1580,1,1,0,0,0,1,3,98117,"SEATTLE","WA","Washington",700000.0
191,1946,1991,4,2.5,1.0,3300,1,0,1,1,3,1,3,98040,"MERCER ISLAND","WA","Washington",905000.0
192,1993,1993,3,2.5,2.0,1470,1,1,0,1,2,0,4,90001,"LOS ANGELES","CA","California",185000.0
193,1999,1999,3,2.0,1.0,1588,1,0,0,1,2,0,4,90002,"LOS ANGELES","CA","California",214000.0
194,1967,0,3,1.75,1.0,1960,0,1,1,1,1,0,3,98032,"KENT","WA","Washington",247500.0
195,1965,1965,3,2.0,1.0,960,1,0,0,1,1,0,4,90003,"LOS ANGELES","CA","California",94750.0
196,1975,0,4,1.5,1.0,1160,0,0,0,0,0,1,4,98023,"FEDERAL WAY","WA","Washington",199000.0
197,1920,1950,2,1.0,1.0,835,1,0,0,1,1,1,5,90004,"LOS ANGELES","CA","California",83000.0
198,1980,0,3,1.75,1.0,1810,1,1,0,0,0,0,5,98038,"MAPLE VALLEY","WA","Washington",314000.0
199,1959,1959,3,2.5,1.0,1225,1,0,0,0,0,1,4,90005,"LOS ANGELES","CA","California",112950.0
200,1992,0,3,2.5,2.0,2320,0,1,0,0,0,0,3,98045,"NORTH BEND","WA","Washington",437500.0
201,1977,2001,3,3.0,1.0,1610,1,1,0,1,2,0,4,96101,"ALTURAS","CA","California",205000.0
202,1910,0,3,2.5,1.5,2070,1,0,0,1,3,1,5,98102,"SEATTLE","WA","Washington",850830.0
203,1929,0,3,2.0,1.5,1980,1,0,1,0,0,1,4,98117,"SEATTLE","WA","Washington",555000.0
204,1985,1985,3,2.5,2.0,1732,1,1,0,1,2,1,4,96103,"BLAIRSDEN-GRAEAGLE","CA","California",178000.0
205,1983,0,3,2.25,2.0,2190,0,1,0,1,2,0,4,98077,"WOODINVILLE","WA","Washington",699950.0
206,1979,1979,4,2.0,1.0,1535,0,0,0,1,2,0,2,96140,"CARNELIAN BAY","CA","California",118964.0
207,2009,2009,3,2.0,1.0,1226,1,0,0,1,3,1,4,96104,"CEDARVILLE","CA","California",198900.0
208,1950,2010,3,2.5,2.0,2920,0,0,1,1,3,1,3,98004,"BELLEVUE","WA","Washington",1090000.0
209,1954,0,3,1.0,1.0,1210,0,1,1,1,3,1,3,98058,"RENTON","WA","Washington",290000.0
210,1931,1950,4,1.5,1.5,1818,1,1,0,1,1,1,4,96105,"CHILCOOT","CA","California",169500.0
211,1978,0,3,2.5,1.0,2340,1,0,1,0,0,1,4,98058,"RENTON","WA","Washington",375000.0
212,2003,2004,3,2.5,2.0,1992,1,1,0,1,2,0,4,96106,"CLIO","CA","California",250000.0
213,1885,1995,2,1.0,1.0,1047,1,0,0,1,1,1,4,96107,"COLEVILLE","CA","California",100000.0
214,1939,0,3,1.0,1.5,1670,1,1,1,0,0,0,4,98117,"SEATTLE","WA","Washington",460000.0
215,1985,0,2,1.75,1.0,1240,0,0,1,1,2,1,4,98198,"SEATTLE","WA","Washington",188500.0
216,1948,1950,2,1.0,1.0,789,1,0,0,1,1,0,5,96108,"DAVIS CREEK","CA","California",115000.0
217,1991,0,4,2.5,2.0,3140,0,1,1,1,1,0,4,98077,"WOODINVILLE","WA","Washington",680000.0
218,1919,2005,3,2.0,1.5,1517,1,0,0,0,0,0,4,96109,"DOYLE","CA","California",115000.0
219,1977,1977,3,2.0,1.0,1844,1,1,0,1,2,0,4,96111,"FLORISTON","CA","California",190000.0
220,1942,0,5,1.75,2.0,2030,0,0,0,1,3,1,4,98052,"REDMOND","WA","Washington",470000.0
221,1954,1972,4,2.0,1.5,1855,1,0,0,1,1,1,4,96111,"FLORISTON","CA","California",136900.0
222,1984,0,4,2.5,2.0,2310,0,1,0,1,2,0,3,98027,"ISSAQUAH","WA","Washington",597750.0
223,2000,2000,3,2.5,3.0,1430,1,1,0,1,2,1,4,96112,"FORT BIDWELL","CA","California",180000.0
224,1905,0,3,1.75,1.0,1260,1,1,0,0,0,0,5,98103,"SEATTLE","WA","Washington",570000.0
225,2007,2007,4,3.5,2.0,2696,1,1,0,1,3,1,5,96113,"HERLONG","CA","California",383970.0
226,1980,0,3,1.75,1.0,1540,1,1,0,0,0,1,4,98038,"MAPLE VALLEY","WA","Washington",272500.0
227,1953,1953,3,3.0,1.0,2259,1,1,0,1,2,1,5,96141,"HOMEWOOD","CA","California",217000.0
228,1971,0,3,1.75,1.0,2080,1,0,1,1,1,0,3,98108,"SEATTLE","WA","Washington",329950.0
229,1945,2002,3,3.5,2.0,2320,1,1,0,1,1,1,4,96142,"TAHOMA","CA","California",259500.0
230,2001,0,4,2.5,2.0,3230,1,0,1,1,1,0,3,98001,"AUBURN","WA","Washington",480000.0
231,1999,1999,2,2.5,2.0,1458,1,1,0,1,2,0,4,96114,"JANESVILLE","CA","California",176000.0
232,1900,1999,3,3.5,2.0,4380,1,0,1,0,0,1,3,98117,"SEATTLE","WA","Washington",740500.0
233,1962,1962,3,1.5,1.0,1092,1,1,0,1,1,1,4,96136,"WENDEL","CA","California",139000.0
234,2010,0,3,3.5,3.0,1590,0,1,1,1,1,0,3,98103,"SEATTLE","WA","Washington",518500.0
235,2006,2007,2,1.5,1.0,1125,1,0,0,1,2,1,5,96143,"KINGS BEACH","CA","California",155000.0
236,1945,0,2,1.0,1.0,880,0,1,0,0,0,1,4,98178,"SEATTLE","WA","Washington",205425.0
237,1990,1990,5,4.0,2.0,3222,1,1,0,1,3,0,4,96115,"LAKE CITY","CA","California",320000.0
238,1950,0,4,2.0,1.0,1570,0,0,0,1,1,1,3,98168,"SEATTLE","WA","Washington",171800.0
239,2005,2006,3,2.5,2.0,1456,1,1,0,1,2,1,5,96116,"LIKELY","CA","California",163990.0
